# DistrPoint:Pointing with distractors
# MT:Movement time
# HIT:Success
# inPractice:practice block
# A:Target Amplitude
# W:Target Width
# D:Distractor Density
# HitDistractor:Press on a distractor
# HitBG:Press on background
# Mouse.x:
# Mouse.y:
# Mouse.Left:
# Date: 2013-03-22-12-09-32
# Participant: S0
block	trial	MT	HIT	inPractice	A	W	D	HitDistractor	HitBG	Mouse.x	Mouse.y	Mouse.Left	
Integer	String	String	Integer	Integer	String	Integer	Integer	Integer	Integer	Integer	
1	1	325	null	true	400	20	low	0	0	1104.0	594.0	0.0
1	1	333	null	true	400	20	low	0	0	1103.0	593.0	0.0
1	1	341	null	true	400	20	low	0	0	1102.0	592.0	0.0
1	1	349	null	true	400	20	low	0	0	1101.0	588.0	0.0
1	1	357	null	true	400	20	low	0	0	1099.0	586.0	0.0
1	1	365	null	true	400	20	low	0	0	1097.0	584.0	0.0
1	1	373	null	true	400	20	low	0	0	1096.0	582.0	0.0
1	1	381	null	true	400	20	low	0	0	1095.0	580.0	0.0
1	1	389	null	true	400	20	low	0	0	1094.0	578.0	0.0
1	1	397	null	true	400	20	low	0	0	1093.0	577.0	0.0
1	1	405	null	true	400	20	low	0	0	1091.0	574.0	0.0
1	1	413	null	true	400	20	low	0	0	1089.0	572.0	0.0
1	1	421	null	true	400	20	low	0	0	1087.0	568.0	0.0
1	1	429	null	true	400	20	low	0	0	1085.0	566.0	0.0
1	1	437	null	true	400	20	low	0	0	1083.0	564.0	0.0
1	1	445	null	true	400	20	low	0	0	1082.0	562.0	0.0
1	1	453	null	true	400	20	low	0	0	1080.0	560.0	0.0
1	1	461	null	true	400	20	low	0	0	1079.0	558.0	0.0
1	1	469	null	true	400	20	low	0	0	1076.0	554.0	0.0
1	1	477	null	true	400	20	low	0	0	1073.0	551.0	0.0
1	1	485	null	true	400	20	low	0	0	1071.0	547.0	0.0
1	1	493	null	true	400	20	low	0	0	1069.0	546.0	0.0
1	1	501	null	true	400	20	low	0	0	1067.0	544.0	0.0
1	1	509	null	true	400	20	low	0	0	1065.0	542.0	0.0
1	1	517	null	true	400	20	low	0	0	1063.0	540.0	0.0
1	1	525	null	true	400	20	low	0	0	1060.0	538.0	0.0
1	1	541	null	true	400	20	low	0	0	1059.0	537.0	0.0
1	1	573	null	true	400	20	low	0	0	1058.0	536.0	0.0
1	1	605	null	true	400	20	low	0	0	1057.0	534.0	0.0
1	1	621	null	true	400	20	low	0	0	1056.0	532.0	0.0
1	1	629	null	true	400	20	low	0	0	1055.0	531.0	0.0
1	1	645	null	true	400	20	low	0	0	1054.0	530.0	0.0
1	1	677	null	true	400	20	low	0	0	1054.0	529.0	0.0
1	1	693	null	true	400	20	low	0	0	1053.0	528.0	0.0
1	1	709	null	true	400	20	low	0	0	1051.0	527.0	0.0
1	1	717	null	true	400	20	low	0	0	1050.0	526.0	0.0
1	1	725	null	true	400	20	low	0	0	1049.0	525.0	0.0
1	1	733	null	true	400	20	low	0	0	1048.0	524.0	0.0
1	1	741	null	true	400	20	low	0	0	1047.0	523.0	0.0
1	1	749	null	true	400	20	low	0	0	1045.0	523.0	0.0
1	1	757	null	true	400	20	low	0	0	1043.0	523.0	0.0
1	1	773	null	true	400	20	low	0	0	1042.0	522.0	0.0
1	1	781	null	true	400	20	low	0	0	1041.0	520.0	0.0
1	1	797	null	true	400	20	low	0	0	1039.0	519.0	0.0
1	1	829	null	true	400	20	low	0	0	1038.0	518.0	0.0
1	1	917	null	true	400	20	low	0	0	1037.0	517.0	0.0
1	2	0	null	true	400	20	low	0	0	1037.0	517.0	1.0
1	2	135	null	true	400	20	low	0	0	1037.0	517.0	0.0
1	2	294	null	true	400	20	low	0	0	1035.0	517.0	0.0
1	2	302	null	true	400	20	low	0	0	1033.0	517.0	0.0
1	2	310	null	true	400	20	low	0	0	1031.0	517.0	0.0
1	2	318	null	true	400	20	low	0	0	1029.0	517.0	0.0
1	2	326	null	true	400	20	low	0	0	1028.0	517.0	0.0
1	2	334	null	true	400	20	low	0	0	1025.0	516.0	0.0
1	2	342	null	true	400	20	low	0	0	1019.0	512.0	0.0
1	2	350	null	true	400	20	low	0	0	1013.0	508.0	0.0
1	2	358	null	true	400	20	low	0	0	1003.0	502.0	0.0
1	2	366	null	true	400	20	low	0	0	993.0	496.0	0.0
1	2	374	null	true	400	20	low	0	0	983.0	488.0	0.0
1	2	382	null	true	400	20	low	0	0	977.0	484.0	0.0
1	2	390	null	true	400	20	low	0	0	970.0	478.0	0.0
1	2	398	null	true	400	20	low	0	0	960.0	470.0	0.0
1	2	406	null	true	400	20	low	0	0	946.0	460.0	0.0
1	2	414	null	true	400	20	low	0	0	939.0	453.0	0.0
1	2	422	null	true	400	20	low	0	0	922.0	440.0	0.0
1	2	430	null	true	400	20	low	0	0	903.0	427.0	0.0
1	2	438	null	true	400	20	low	0	0	890.0	418.0	0.0
1	2	446	null	true	400	20	low	0	0	881.0	416.0	0.0
1	2	454	null	true	400	20	low	0	0	872.0	411.0	0.0
1	2	462	null	true	400	20	low	0	0	864.0	406.0	0.0
1	2	470	null	true	400	20	low	0	0	855.0	401.0	0.0
1	2	478	null	true	400	20	low	0	0	850.0	399.0	0.0
1	2	486	null	true	400	20	low	0	0	842.0	397.0	0.0
1	2	494	null	true	400	20	low	0	0	837.0	395.0	0.0
1	2	502	null	true	400	20	low	0	0	832.0	392.0	0.0
1	2	510	null	true	400	20	low	0	0	828.0	391.0	0.0
1	2	518	null	true	400	20	low	0	0	827.0	389.0	0.0
1	2	526	null	true	400	20	low	0	0	825.0	387.0	0.0
1	2	534	null	true	400	20	low	0	0	824.0	386.0	0.0
1	2	542	null	true	400	20	low	0	0	822.0	384.0	0.0
1	2	550	null	true	400	20	low	0	0	820.0	381.0	0.0
1	2	558	null	true	400	20	low	0	0	818.0	380.0	0.0
1	2	566	null	true	400	20	low	0	0	816.0	380.0	0.0
1	2	574	null	true	400	20	low	0	0	814.0	379.0	0.0
1	2	582	null	true	400	20	low	0	0	812.0	378.0	0.0
1	2	590	null	true	400	20	low	0	0	810.0	378.0	0.0
1	2	598	null	true	400	20	low	0	0	808.0	378.0	0.0
1	2	606	null	true	400	20	low	0	0	805.0	378.0	0.0
1	2	614	null	true	400	20	low	0	0	798.0	378.0	0.0
1	2	622	null	true	400	20	low	0	0	793.0	378.0	0.0
1	2	630	null	true	400	20	low	0	0	781.0	378.0	0.0
1	2	638	null	true	400	20	low	0	0	767.0	378.0	0.0
1	2	646	null	true	400	20	low	0	0	755.0	378.0	0.0
1	2	654	null	true	400	20	low	0	0	749.0	378.0	0.0
1	2	662	null	true	400	20	low	0	0	738.0	378.0	0.0
1	2	670	null	true	400	20	low	0	0	729.0	378.0	0.0
1	2	678	null	true	400	20	low	0	0	719.0	378.0	0.0
1	2	686	null	true	400	20	low	0	0	715.0	378.0	0.0
1	2	694	null	true	400	20	low	0	0	705.0	378.0	0.0
1	2	702	null	true	400	20	low	0	0	701.0	378.0	0.0
1	2	710	null	true	400	20	low	0	0	697.0	378.0	0.0
1	2	718	null	true	400	20	low	0	0	696.0	379.0	0.0
1	3	0	null	true	400	20	low	0	0	696.0	379.0	1.0
1	3	87	null	true	400	20	low	0	0	696.0	379.0	0.0
1	3	167	null	true	400	20	low	0	0	697.0	381.0	0.0
1	3	175	null	true	400	20	low	0	0	699.0	383.0	0.0
1	3	183	null	true	400	20	low	0	0	703.0	387.0	0.0
1	3	191	null	true	400	20	low	0	0	712.0	399.0	0.0
1	3	199	null	true	400	20	low	0	0	719.0	408.0	0.0
1	3	207	null	true	400	20	low	0	0	726.0	420.0	0.0
1	3	215	null	true	400	20	low	0	0	739.0	433.0	0.0
1	3	223	null	true	400	20	low	0	0	754.0	450.0	0.0
1	3	231	null	true	400	20	low	0	0	765.0	463.0	0.0
1	3	239	null	true	400	20	low	0	0	782.0	484.0	0.0
1	3	247	null	true	400	20	low	0	0	803.0	505.0	0.0
1	3	255	null	true	400	20	low	0	0	824.0	526.0	0.0
1	3	263	null	true	400	20	low	0	0	833.0	535.0	0.0
1	3	271	null	true	400	20	low	0	0	844.0	546.0	0.0
1	3	279	null	true	400	20	low	0	0	859.0	557.0	0.0
1	3	287	null	true	400	20	low	0	0	870.0	570.0	0.0
1	3	295	null	true	400	20	low	0	0	877.0	577.0	0.0
1	3	303	null	true	400	20	low	0	0	886.0	586.0	0.0
1	3	311	null	true	400	20	low	0	0	897.0	597.0	0.0
1	3	319	null	true	400	20	low	0	0	906.0	606.0	0.0
1	3	327	null	true	400	20	low	0	0	908.0	613.0	0.0
1	3	335	null	true	400	20	low	0	0	910.0	620.0	0.0
1	3	343	null	true	400	20	low	0	0	912.0	626.0	0.0
1	3	351	null	true	400	20	low	0	0	914.0	627.0	0.0
1	3	359	null	true	400	20	low	0	0	915.0	629.0	0.0
1	3	367	null	true	400	20	low	0	0	917.0	634.0	0.0
1	3	375	null	true	400	20	low	0	0	920.0	639.0	0.0
1	3	383	null	true	400	20	low	0	0	923.0	646.0	0.0
1	3	391	null	true	400	20	low	0	0	926.0	655.0	0.0
1	3	399	null	true	400	20	low	0	0	930.0	665.0	0.0
1	3	407	null	true	400	20	low	0	0	932.0	669.0	0.0
1	3	415	null	true	400	20	low	0	0	936.0	678.0	0.0
1	3	423	null	true	400	20	low	0	0	938.0	683.0	0.0
1	3	431	null	true	400	20	low	0	0	940.0	687.0	0.0
1	3	439	null	true	400	20	low	0	0	942.0	689.0	0.0
1	3	447	null	true	400	20	low	0	0	943.0	690.0	0.0
1	3	455	null	true	400	20	low	0	0	944.0	691.0	0.0
1	3	463	null	true	400	20	low	0	0	945.0	693.0	0.0
1	3	535	null	true	400	20	low	0	0	947.0	694.0	0.0
1	3	543	null	true	400	20	low	0	0	949.0	694.0	0.0
1	3	551	null	true	400	20	low	0	0	952.0	694.0	0.0
1	3	559	null	true	400	20	low	0	0	956.0	694.0	0.0
1	3	567	null	true	400	20	low	0	0	959.0	694.0	0.0
1	3	575	null	true	400	20	low	0	0	961.0	694.0	0.0
1	3	583	null	true	400	20	low	0	0	967.0	694.0	0.0
1	3	591	null	true	400	20	low	0	0	974.0	692.0	0.0
1	3	599	null	true	400	20	low	0	0	978.0	691.0	0.0
1	3	607	null	true	400	20	low	0	0	980.0	691.0	0.0
1	3	615	null	true	400	20	low	0	0	983.0	690.0	0.0
1	3	623	null	true	400	20	low	0	0	984.0	689.0	0.0
1	3	631	null	true	400	20	low	0	0	988.0	687.0	0.0
1	3	639	null	true	400	20	low	0	0	990.0	684.0	0.0
1	3	647	null	true	400	20	low	0	0	992.0	683.0	0.0
1	3	655	null	true	400	20	low	0	0	995.0	680.0	0.0
1	3	663	null	true	400	20	low	0	0	1000.0	675.0	0.0
1	3	671	null	true	400	20	low	0	0	1001.0	671.0	0.0
1	3	679	null	true	400	20	low	0	0	1002.0	670.0	0.0
1	3	687	null	true	400	20	low	0	0	1004.0	670.0	0.0
1	3	807	null	true	400	20	low	0	0	1005.0	669.0	0.0
1	3	823	null	true	400	20	low	0	0	1004.0	668.0	0.0
1	3	831	null	true	400	20	low	0	0	1003.0	667.0	0.0
1	3	839	null	true	400	20	low	0	0	1002.0	666.0	0.0
1	3	847	null	true	400	20	low	0	0	1000.0	666.0	0.0
1	3	855	null	true	400	20	low	0	0	998.0	666.0	0.0
1	3	879	null	true	400	20	low	0	0	997.0	665.0	0.0
1	3	887	null	true	400	20	low	0	0	996.0	664.0	0.0
1	3	903	null	true	400	20	low	0	0	994.0	664.0	0.0
1	3	919	null	true	400	20	low	0	0	992.0	664.0	0.0
1	3	951	null	true	400	20	low	0	0	990.0	664.0	0.0
1	3	967	null	true	400	20	low	0	0	989.0	665.0	0.0
1	3	975	null	true	400	20	low	0	0	988.0	666.0	0.0
1	3	983	null	true	400	20	low	0	0	986.0	666.0	0.0
1	3	1007	null	true	400	20	low	0	0	984.0	666.0	0.0
1	3	1015	null	true	400	20	low	0	0	983.0	667.0	0.0
1	3	1023	null	true	400	20	low	0	0	982.0	668.0	0.0
1	3	1031	null	true	400	20	low	0	0	980.0	668.0	0.0
1	4	0	null	true	400	20	low	0	0	980.0	668.0	1.0
1	4	88	null	true	400	20	low	0	0	980.0	668.0	0.0
1	4	167	null	true	400	20	low	0	0	978.0	666.0	0.0
1	4	175	null	true	400	20	low	0	0	976.0	662.0	0.0
1	4	183	null	true	400	20	low	0	0	967.0	649.0	0.0
1	4	191	null	true	400	20	low	0	0	954.0	628.0	0.0
1	4	199	null	true	400	20	low	0	0	937.0	601.0	0.0
1	4	207	null	true	400	20	low	0	0	926.0	582.0	0.0
1	4	215	null	true	400	20	low	0	0	909.0	547.0	0.0
1	4	223	null	true	400	20	low	0	0	892.0	512.0	0.0
1	4	231	null	true	400	20	low	0	0	877.0	473.0	0.0
1	4	240	null	true	400	20	low	0	0	868.0	452.0	0.0
1	4	247	null	true	400	20	low	0	0	855.0	421.0	0.0
1	4	255	null	true	400	20	low	0	0	846.0	398.0	0.0
1	4	263	null	true	400	20	low	0	0	837.0	381.0	0.0
1	4	271	null	true	400	20	low	0	0	832.0	374.0	0.0
1	4	279	null	true	400	20	low	0	0	828.0	370.0	0.0
1	4	287	null	true	400	20	low	0	0	827.0	367.0	0.0
1	4	303	null	true	400	20	low	0	0	827.0	366.0	0.0
1	4	319	null	true	400	20	low	0	0	826.0	366.0	0.0
1	4	487	null	true	400	20	low	0	0	825.0	365.0	0.0
1	4	503	null	true	400	20	low	0	0	825.0	363.0	0.0
1	4	511	null	true	400	20	low	0	0	825.0	361.0	0.0
1	4	519	null	true	400	20	low	0	0	826.0	360.0	0.0
1	4	527	null	true	400	20	low	0	0	827.0	359.0	0.0
1	4	535	null	true	400	20	low	0	0	828.0	357.0	0.0
1	4	543	null	true	400	20	low	0	0	831.0	353.0	0.0
1	4	551	null	true	400	20	low	0	0	833.0	349.0	0.0
1	4	559	null	true	400	20	low	0	0	837.0	343.0	0.0
1	4	567	null	true	400	20	low	0	0	838.0	341.0	0.0
1	4	575	null	true	400	20	low	0	0	840.0	339.0	0.0
1	4	583	null	true	400	20	low	0	0	843.0	333.0	0.0
1	4	591	null	true	400	20	low	0	0	847.0	330.0	0.0
1	4	599	null	true	400	20	low	0	0	849.0	326.0	0.0
1	4	607	null	true	400	20	low	0	0	853.0	322.0	0.0
1	4	615	null	true	400	20	low	0	0	854.0	318.0	0.0
1	4	631	null	true	400	20	low	0	0	854.0	315.0	0.0
1	4	647	null	true	400	20	low	0	0	854.0	313.0	0.0
1	4	655	null	true	400	20	low	0	0	854.0	311.0	0.0
1	4	663	null	true	400	20	low	0	0	854.0	309.0	0.0
1	4	671	null	true	400	20	low	0	0	854.0	307.0	0.0
1	4	679	null	true	400	20	low	0	0	854.0	305.0	0.0
1	4	687	null	true	400	20	low	0	0	854.0	303.0	0.0
1	4	695	null	true	400	20	low	0	0	854.0	301.0	0.0
1	4	751	null	true	400	20	low	0	0	853.0	300.0	0.0
1	4	791	null	true	400	20	low	0	0	852.0	301.0	0.0
1	4	807	null	true	400	20	low	0	0	851.0	302.0	0.0
1	4	815	null	true	400	20	low	0	0	850.0	303.0	0.0
1	4	823	null	true	400	20	low	0	0	849.0	304.0	0.0
1	4	831	null	true	400	20	low	0	0	847.0	305.0	0.0
1	4	839	null	true	400	20	low	0	0	846.0	307.0	0.0
1	4	847	null	true	400	20	low	0	0	845.0	308.0	0.0
1	4	855	null	true	400	20	low	0	0	843.0	309.0	0.0
1	4	863	null	true	400	20	low	0	0	841.0	311.0	0.0
1	4	871	null	true	400	20	low	0	0	840.0	313.0	0.0
1	4	879	null	true	400	20	low	0	0	839.0	314.0	0.0
1	4	887	null	true	400	20	low	0	0	838.0	315.0	0.0
1	4	895	null	true	400	20	low	0	0	837.0	316.0	0.0
1	4	919	null	true	400	20	low	0	0	836.0	317.0	0.0
1	4	927	null	true	400	20	low	0	0	835.0	318.0	0.0
1	4	951	null	true	400	20	low	0	0	834.0	319.0	0.0
1	4	959	null	true	400	20	low	0	0	834.0	321.0	0.0
1	5	0	null	true	400	20	low	0	0	834.0	321.0	1.0
1	5	80	null	true	400	20	low	0	0	834.0	321.0	0.0
1	5	159	null	true	400	20	low	0	0	834.0	324.0	0.0
1	5	167	null	true	400	20	low	0	0	834.0	328.0	0.0
1	5	175	null	true	400	20	low	0	0	836.0	334.0	0.0
1	5	183	null	true	400	20	low	0	0	842.0	349.0	0.0
1	5	191	null	true	400	20	low	0	0	851.0	366.0	0.0
1	5	199	null	true	400	20	low	0	0	860.0	379.0	0.0
1	5	207	null	true	400	20	low	0	0	873.0	398.0	0.0
1	5	215	null	true	400	20	low	0	0	884.0	419.0	0.0
1	5	223	null	true	400	20	low	0	0	895.0	440.0	0.0
1	5	231	null	true	400	20	low	0	0	902.0	455.0	0.0
1	5	239	null	true	400	20	low	0	0	915.0	480.0	0.0
1	5	247	null	true	400	20	low	0	0	924.0	507.0	0.0
1	5	255	null	true	400	20	low	0	0	931.0	532.0	0.0
1	5	263	null	true	400	20	low	0	0	933.0	543.0	0.0
1	5	271	null	true	400	20	low	0	0	938.0	556.0	0.0
1	5	279	null	true	400	20	low	0	0	943.0	569.0	0.0
1	5	287	null	true	400	20	low	0	0	943.0	578.0	0.0
1	5	295	null	true	400	20	low	0	0	943.0	585.0	0.0
1	5	303	null	true	400	20	low	0	0	943.0	593.0	0.0
1	5	311	null	true	400	20	low	0	0	943.0	602.0	0.0
1	5	319	null	true	400	20	low	0	0	943.0	613.0	0.0
1	5	327	null	true	400	20	low	0	0	943.0	620.0	0.0
1	5	335	null	true	400	20	low	0	0	943.0	626.0	0.0
1	5	343	null	true	400	20	low	0	0	940.0	630.0	0.0
1	5	351	null	true	400	20	low	0	0	938.0	636.0	0.0
1	5	359	null	true	400	20	low	0	0	938.0	640.0	0.0
1	5	367	null	true	400	20	low	0	0	937.0	642.0	0.0
1	5	375	null	true	400	20	low	0	0	935.0	646.0	0.0
1	5	383	null	true	400	20	low	0	0	930.0	653.0	0.0
1	5	391	null	true	400	20	low	0	0	924.0	660.0	0.0
1	5	399	null	true	400	20	low	0	0	919.0	665.0	0.0
1	5	407	null	true	400	20	low	0	0	915.0	671.0	0.0
1	5	415	null	true	400	20	low	0	0	909.0	677.0	0.0
1	5	423	null	true	400	20	low	0	0	904.0	682.0	0.0
1	5	431	null	true	400	20	low	0	0	900.0	686.0	0.0
1	5	439	null	true	400	20	low	0	0	898.0	690.0	0.0
1	5	447	null	true	400	20	low	0	0	896.0	694.0	0.0
1	5	455	null	true	400	20	low	0	0	893.0	702.0	0.0
1	5	463	null	true	400	20	low	0	0	891.0	709.0	0.0
1	5	471	null	true	400	20	low	0	0	888.0	711.0	0.0
1	5	479	null	true	400	20	low	0	0	886.0	715.0	0.0
1	5	487	null	true	400	20	low	0	0	883.0	719.0	0.0
1	5	495	null	true	400	20	low	0	0	881.0	723.0	0.0
1	5	655	null	true	400	20	low	0	0	880.0	724.0	0.0
1	5	671	null	true	400	20	low	0	0	878.0	724.0	0.0
1	5	679	null	true	400	20	low	0	0	876.0	724.0	0.0
1	5	695	null	true	400	20	low	0	0	874.0	724.0	0.0
1	5	703	null	true	400	20	low	0	0	872.0	724.0	0.0
1	5	711	null	true	400	20	low	0	0	870.0	724.0	0.0
1	5	719	null	true	400	20	low	0	0	868.0	724.0	0.0
1	5	727	null	true	400	20	low	0	0	866.0	724.0	0.0
1	5	735	null	true	400	20	low	0	0	864.0	724.0	0.0
1	5	743	null	true	400	20	low	0	0	862.0	724.0	0.0
1	5	751	null	true	400	20	low	0	0	860.0	724.0	0.0
1	5	759	null	true	400	20	low	0	0	858.0	724.0	0.0
1	5	767	null	true	400	20	low	0	0	856.0	724.0	0.0
1	5	775	null	true	400	20	low	0	0	854.0	724.0	0.0
1	5	783	null	true	400	20	low	0	0	852.0	724.0	0.0
1	5	791	null	true	400	20	low	0	0	850.0	724.0	0.0
1	5	799	null	true	400	20	low	0	0	848.0	724.0	0.0
1	5	807	null	true	400	20	low	0	0	844.0	724.0	0.0
1	5	815	null	true	400	20	low	0	0	842.0	724.0	0.0
1	5	823	null	true	400	20	low	0	0	840.0	724.0	0.0
1	5	943	null	true	400	20	low	0	0	838.0	724.0	0.0
1	5	999	null	true	400	20	low	0	0	836.0	724.0	0.0
1	6	0	null	true	400	20	low	0	0	836.0	724.0	1.0
1	6	88	null	true	400	20	low	0	0	835.0	725.0	0.0
1	6	207	null	true	400	20	low	0	0	835.0	723.0	0.0
1	6	215	null	true	400	20	low	0	0	836.0	721.0	0.0
1	6	223	null	true	400	20	low	0	0	837.0	719.0	0.0
1	6	231	null	true	400	20	low	0	0	838.0	713.0	0.0
1	6	239	null	true	400	20	low	0	0	840.0	708.0	0.0
1	6	247	null	true	400	20	low	0	0	840.0	696.0	0.0
1	6	255	null	true	400	20	low	0	0	845.0	680.0	0.0
1	6	263	null	true	400	20	low	0	0	852.0	659.0	0.0
1	6	271	null	true	400	20	low	0	0	857.0	642.0	0.0
1	6	279	null	true	400	20	low	0	0	870.0	613.0	0.0
1	6	287	null	true	400	20	low	0	0	877.0	584.0	0.0
1	6	295	null	true	400	20	low	0	0	886.0	567.0	0.0
1	6	303	null	true	400	20	low	0	0	888.0	558.0	0.0
1	6	311	null	true	400	20	low	0	0	895.0	547.0	0.0
1	6	319	null	true	400	20	low	0	0	902.0	538.0	0.0
1	6	327	null	true	400	20	low	0	0	909.0	527.0	0.0
1	6	335	null	true	400	20	low	0	0	911.0	522.0	0.0
1	6	343	null	true	400	20	low	0	0	914.0	511.0	0.0
1	6	351	null	true	400	20	low	0	0	914.0	500.0	0.0
1	6	359	null	true	400	20	low	0	0	917.0	491.0	0.0
1	6	367	null	true	400	20	low	0	0	917.0	486.0	0.0
1	6	375	null	true	400	20	low	0	0	918.0	485.0	0.0
1	6	383	null	true	400	20	low	0	0	919.0	482.0	0.0
1	6	391	null	true	400	20	low	0	0	925.0	476.0	0.0
1	6	399	null	true	400	20	low	0	0	930.0	468.0	0.0
1	6	407	null	true	400	20	low	0	0	932.0	462.0	0.0
1	6	415	null	true	400	20	low	0	0	938.0	456.0	0.0
1	6	423	null	true	400	20	low	0	0	942.0	446.0	0.0
1	6	431	null	true	400	20	low	0	0	944.0	438.0	0.0
1	6	439	null	true	400	20	low	0	0	946.0	433.0	0.0
1	6	447	null	true	400	20	low	0	0	947.0	427.0	0.0
1	6	455	null	true	400	20	low	0	0	949.0	423.0	0.0
1	6	463	null	true	400	20	low	0	0	951.0	419.0	0.0
1	6	471	null	true	400	20	low	0	0	952.0	417.0	0.0
1	6	479	null	true	400	20	low	0	0	953.0	413.0	0.0
1	6	487	null	true	400	20	low	0	0	953.0	410.0	0.0
1	6	543	null	true	400	20	low	0	0	954.0	408.0	0.0
1	6	551	null	true	400	20	low	0	0	955.0	407.0	0.0
1	6	559	null	true	400	20	low	0	0	958.0	404.0	0.0
1	6	567	null	true	400	20	low	0	0	959.0	402.0	0.0
1	6	575	null	true	400	20	low	0	0	960.0	399.0	0.0
1	6	583	null	true	400	20	low	0	0	961.0	398.0	0.0
1	6	591	null	true	400	20	low	0	0	962.0	397.0	0.0
1	6	599	null	true	400	20	low	0	0	964.0	395.0	0.0
1	6	607	null	true	400	20	low	0	0	965.0	394.0	0.0
1	6	655	null	true	400	20	low	0	0	965.0	392.0	0.0
1	6	663	null	true	400	20	low	0	0	966.0	391.0	0.0
1	6	679	null	true	400	20	low	0	0	968.0	391.0	0.0
1	6	687	null	true	400	20	low	0	0	969.0	390.0	0.0
1	6	711	null	true	400	20	low	0	0	970.0	389.0	0.0
1	6	735	null	true	400	20	low	0	0	972.0	389.0	0.0
1	6	839	null	true	400	20	low	0	0	974.0	389.0	0.0
1	7	0	null	true	400	20	low	0	0	974.0	389.0	1.0
1	7	104	null	true	400	20	low	0	0	974.0	389.0	0.0
1	7	247	null	true	400	20	low	0	0	975.0	390.0	0.0
